Fecha,Equipo1,Q11,Q12,Q13,Q14,Puntos1,Equipo2,Q21,Q22,Q23,Q24,Puntos2,TE11,TE12,TE21,TE22
10-04-2024,Cavaliers,32,16,30,32,110,Grizzlies,29,22,16,31,98
10-04-2024,Nets,27,26,24,29,106,Raptors,27,27,26,22,102
10-04-2024,Heat,24,23,27,18,92,Mavericks,33,36,19,23,111
10-04-2024,Hawks,35,26,31,22,114,Hornets,30,25,22,38,115
10-04-2024,Bucks,27,37,32,21,117,Magic,23,27,27,22,99
10-04-2024,Thunder,34,34,30,29,127,Spurs,11,24,29,25,89
10-04-2024,Nuggets,26,23,34,33,116,Timberwolves,28,24,28,27,107
10-04-2024,Clippers,27,29,37,15,108,Suns,28,27,37,32,124
11-04-2024,Pistons,30,25,25,25,105,Bulls,31,33,35,28,127
11-04-2024,Celtics,29,19,23,38,109,Knicks,32,37,31,18,118
11-04-2024,Jazz,28,36,34,26,124,Rockets,38,29,29,25,121
11-04-2024,Kings,23,35,31,34,123,Pelicans,34,30,34,37,135
11-04-2024,Trail Blazers,22,24,28,18,92,Warriors,24,25,26,25,100
12-04-2024,Wizards,40,22,33,32,127,Bulls,33,32,33,31,129
12-04-2024,76ers,40,28,28,29,125,Magic,27,34,22,30,113
12-04-2024,Cavaliers,35,35,27,32,129,Pacers,26,33,35,26,120
12-04-2024,Knicks,14,40,30,27,111,Nets,30,33,13,31,107
12-04-2024,Celtics,30,39,25,37,131,Hornets,24,19,33,22,98
12-04-2024,Grizzlies,26,38,33,23,120,Lakers,34,34,30,25,123
12-04-2024,Heat,33,33,26,33,125,Raptors,22,28,25,28,103
12-04-2024,Timberwolves,25,31,24,29,109,Hawks,27,20,33,26,106
12-04-2024,Spurs,32,18,37,34,121,Nuggets,31,37,32,20,120
12-04-2024,Thunder,41,28,26,30,125,Bucks,34,18,31,24,107
12-04-2024,Mavericks,21,25,22,21,89,Pistons,27,26,27,27,107
12-04-2024,Trail Blazers,24,16,35,32,107,Rockets,23,31,30,32,116
12-04-2024,Warriors,26,22,27,34,109,Pelicans,17,45,26,26,114
12-04-2024,Clippers,38,22,25,24,109,Jazz,27,34,25,24,110
12-04-2024,Kings,27,27,31,22,107,Suns,22,23,33,30,108
14-04-2024,Pacers,49,37,39,32,157,Hawks,34,38,21,22,115
14-04-2024,Celtics,34,35,38,25,132,Wizards,30,29,30,33,122
14-04-2024,Heat,24,43,27,24,118,Raptors,24,22,25,32,103
14-04-2024,Knicks,29,21,26,33,120,Raptors,28,19,35,27,119,11,10,0,0
14-04-2024,Cavaliers,33,25,38,14,110,Hornets,24,33,31,32,120
14-04-2024,Magic,22,25,33,33,113,Bucks,30,12,29,17,88
14-04-2024,76ers,22,33,26,26,107,Nets,23,21,20,22,86
14-04-2024,Grizzlies,26,28,21,36,111,Nuggets,29,37,28,32,126
14-04-2024,Kings,30,35,34,22,121,Trail Blazers,18,19,21,24,82
14-04-2024,Warriors,33,30,32,28,123,Jazz,27,29,33,27,116
14-04-2024,Thunder,39,43,26,27,135,Mavericks,22,19,16,29,86
14-04-2024,Spurs,29,34,30,30,123,Pistons,23,17,23,32,95
14-04-2024,Timberwolves,22,31,25,28,106,Suns,44,22,23,36,125
14-04-2024,Clippers,21,30,32,22,105,Rockets,24,24,37,31,116
14-04-2024,Pelicans,24,29,24,31,108,Lakers,30,40,29,25,124
14-04-2024,Knicks,29,21,26,33,120,Bulls,28,19,35,27,119,11,10,0,0
14-04-2024,Cavaliers,33,25,38,14,110,Hornets,24,33,31,32,120
16-04-2024,Pelicans,34,16,26,30,106,Lakers,26,34,23,27,110
16-04-2024,Kings,31,23,37,27,118,Warriors,22,28,26,18,94
17-04-2024,76ers,22,17,30,36,105,Heat,23,28,23,30,104
17-04-2024,Bulls,40,33,37,21,131,Hawks,22,45,25,24,116
